symbol,name,price,market_cap,volume_24h,price_change_24h,price_change_7d,rsi,score,reason,timestamp
AERO,Aerodrome Finance,0.62653,522691240,161115911.0,14.00019,0,62.49450339424326,50,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
TRIBE,Tribe,0.45061,204967213,183606.0,5.44721,0,74.31251681428111,50,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
AURA,aura,0.179835,173700841,71635900.0,112.43118,0,99.88056701723245,50,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
REKT,Rekt,3.71736e-07,153795153,4343431.0,7.1764,0,82.07168656753527,50,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
ORBS,Orbs,0.02396302,111339830,88305844.0,17.36728,0,80.4547158616637,50,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
VENOM,Venom,0.171233,356181886,14830118.0,27.18476,0,84.01377846456408,50,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
AXL,Axelar,0.416396,408839087,54187938.0,-12.45551,0,64.66459183804523,45,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
PTGC,The Grays Currency,0.00029667,86570576,85017.0,-10.12866,0,42.157111866392924,45,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
TIBBIR,Ribbita by Virtuals,0.103676,103194079,3149275.0,-4.94907,0,59.68477878965476,45,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
KMNO,Kamino,0.058645,121581639,28772597.0,-6.57346,0,56.7659860850989,45,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
SQD,SQD,0.242039,170941358,94538087.0,-5.91435,0,55.735559853695115,45,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
SYRUP,Maple Finance,0.487553,523509482,126523858.0,-4.1982,0,71.1026733857413,45,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
AB,AB,0.01214919,769164050,106201469.0,4.65971,0,87.89136553464897,45,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
KAIA,Kaia,0.155123,903583877,187244373.0,-9.65056,0,73.66015354311068,45,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
UNI,Uniswap,7.45,4438016954,793507291.0,-6.38715,0,61.93743129588383,45,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
WBT,WhiteBIT Coin,33.63,4844041789,104720917.0,3.62326,0,70.40143120352681,45,"价格趋势上升信号, 市场走势: 强势上升",20250613_153156
USDC,USDC,0.999738,61035434097,15038725353.0,-0.00599,0,32.14318801573647,45,"价格趋势上升信号, 价格低于价格区间底部, 市场走势: 可能回升",20250613_153156
ELF,aelf,0.211917,162154125,6082265.0,-5.27623,0,34.689152660725355,35,"价格趋势上升信号, 价格低于价格区间底部",20250613_153156
HONEY,Hivemapper,0.02303192,101425934,1270927.0,-10.65371,0,42.60320841872357,35,"价格趋势上升信号, 价格低于价格区间底部",20250613_153156
SBTC,sBTC,105145.0,105145340,5105.94,-2.86747,0,50.682403742056756,35,"价格趋势上升信号, 市场走势: 上升趋势",20250613_153156
DAKU,Daku,0.208833,125299452,117105.0,-5.05346,0,68.28457698269486,35,"价格趋势上升信号, 市场走势: 上升趋势",20250613_153156
BORA,BORA,0.119891,137601452,52086289.0,2.34218,0,64.40269365661862,35,"价格趋势上升信号, 市场走势: 上升趋势",20250613_153156
KAU,Kinesis Gold,109.75,157493225,140195765.0,1.3059,0,72.69334741126936,35,"价格趋势上升信号, 市场走势: 上升趋势",20250613_153156
MWC,MimbleWimbleCoin,37.45,410812486,208918.0,-0.79891,0,66.53574988315208,35,"价格趋势上升信号, 市场走势: 上升趋势",20250613_153156
TRIP,Trip,8.78,259066551,14175.56,1.29707,0,76.85317375648305,35,"价格趋势上升信号, 市场走势: 上升趋势",20250613_153156
DAI,Polygon PoS Bridged DAI (Polygon POS),0.999564,270776620,38823820.0,-0.04397,0,51.02342064747974,35,"价格趋势上升信号, 价格低于价格区间底部",20250613_153156
WHYPE,Wrapped HYPE,38.79,571454146,75575230.0,-6.81011,0,69.40247621883735,35,"价格趋势上升信号, 市场走势: 上升趋势",20250613_153156
PAXG,PAX Gold,3447.06,834026099,211796093.0,1.80518,0,71.46286597038315,35,"价格趋势上升信号, 市场走势: 上升趋势",20250613_153156
XAUT,Tether Gold,3424.83,843532800,73682306.0,1.86981,0,70.60338858013533,35,"价格趋势上升信号, 市场走势: 上升趋势",20250613_153156
AAVE,Aave,282.66,4249100078,906610342.0,-5.27668,0,61.187645769039314,30,"价格趋势上升信号, 市场走势: 可能回升",20250613_153156
USD1,USD1,0.999193,2187948168,448685203.0,-0.07031,0,52.035413402815834,30,"价格趋势上升信号, 市场走势: 可能回升",20250613_153156
USDT0,USDT0,1.0,1499217078,394705637.0,0.04634,0,47.80123050808178,30,"价格趋势上升信号, 市场走势: 可能回升",20250613_153156
SPX,SPX6900,1.39,1295570121,148231823.0,-17.31275,0,70.54869491367671,30,"价格趋势上升信号, 市场走势: 可能回升",20250613_153156
CAKE,PancakeSwap,2.44,781780125,190387052.0,-3.28135,0,58.46563206964229,30,"价格趋势上升信号, 市场走势: 可能回升",20250613_153156
ZKJ,Polyhedra Network,2.01,619872794,8769720510.0,-0.07866,0,45.53988832367781,30,"价格趋势上升信号, 市场走势: 可能回升",20250613_153156
USDC.E,Bridged USDC (Polygon PoS Bridge),0.999699,432734148,9318429.0,-0.01009,0,44.85665057255269,30,"价格趋势上升信号, 市场走势: 可能回升",20250613_153156
USDG,Global Dollar,0.999757,320264175,13328865.0,-0.00771,0,47.713947564016024,30,"价格趋势上升信号, 市场走势: 可能回升",20250613_153156
ASONUSDC,Aave USDC (Sonic),0.999798,217086261,263808.0,0.02223,0,50.966798231796396,30,"价格趋势上升信号, 市场走势: 可能回升",20250613_153156
