symbol,name,price,market_cap,volume_24h,price_change_24h,price_change_7d,rsi,score,reason,timestamp
BCH,Bitcoin Cash,457.59,9098956385,273801573,5.58947,0,67.4235889416342,50,"价格趋势上升信号, 市场走势: 强势上升",20250616_093530
TKX,Tokenize Xchange,35.64,2858051220,26168835,21.42634,0,64.52795127503128,50,"价格趋势上升信号, 市场走势: 强势上升",20250616_093530
WBT,WhiteBIT Coin,39.61,5708661503,57929173,1.33711,0,87.95060831689648,45,"价格趋势上升信号, 市场走势: 强势上升",20250616_093530
SKY,Sky,0.088229,1888376454,8069456,0.74463,0,69.98209809224278,35,"价格趋势上升信号, 市场走势: 上升趋势",20250616_093530
USDT0,USDT0,1.002,1546341492,161233937,0.19417,0,49.3238499459319,30,"价格趋势上升信号, 市场走势: 可能回升",20250616_093530
