symbol,name,price,market_cap,volume_24h,price_change_24h,price_change_7d,rsi,score,reason,timestamp
CAKE,PancakeSwap,2.19,702545968,50807606.0,-0.62657,0,26.61973923107162,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250626_094753
DENT,Dent,0.00056545,54031324,3092798.0,-2.68361,0,29.807763376970172,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250626_094753
RON,Ronin,0.441323,288248426,6457556.0,-1.78713,0,29.7831521877807,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250626_094753
BB,BounceBit,0.080472,32991823,5587126.0,-5.23299,0,25.997255401913577,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250626_094753
SDEX,SMARDEX,0.00474858,43639710,414320.0,-0.36525,0,27.65158224168313,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250626_094753
PRCL,Parcl,0.065555,26475596,5409520.0,-1.09446,0,27.574205241229734,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250626_094753
SAGA,Saga,0.218764,56524401,13896481.0,-2.93882,0,29.57754364686174,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250626_094753
XAI,Xai,0.050187,64253329,13740595.0,-3.10243,0,29.877505575878843,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250626_094753
MANTA,Manta Network,0.181318,75895144,13263424.0,-2.37624,0,27.783868126789685,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250626_094753
BABYDOGE,Baby Doge Coin,1.119e-09,187476144,9818727.0,-1.96571,0,29.420350591863226,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250626_094753
SKYAI,SkyAI,0.03627952,36256172,21370299.0,6.1895,0,59.94477168009644,50,"价格趋势上升信号, 市场走势: 强势上升",20250626_094753
MMX,MMX,0.330388,53429781,153265.0,13.27511,0,58.90283315787254,50,"价格趋势上升信号, 市场走势: 强势上升",20250626_094753
TUT,Tutorial,0.059848,50134028,49754918.0,6.02189,0,79.38771856369455,50,"价格趋势上升信号, 市场走势: 强势上升",20250626_094753
DBR,deBridge,0.01708299,49662458,18341589.0,10.11679,0,85.65237655243538,50,"价格趋势上升信号, 市场走势: 强势上升",20250626_094753
