symbol,name,price,market_cap,volume_24h,price_change_24h,price_change_7d,rsi,score,reason,timestamp
HYPE,Hyperliquid,40.56,13546601154,251799085.0,8.13347,0,45.67617284224632,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
PNUT,Peanut the Squirrel,0.232432,232274711,124387756.0,7.15917,0,54.57334311800418,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
BERA,Berachain,1.79,214565267,35324000.0,5.29894,0,38.36863668830881,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
ARKM,Arkham,0.47254,208878204,33864370.0,5.11203,0,49.592105237168084,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
EUL,Euler,11.13,208252875,1868832.0,7.21239,0,71.68839609897762,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
USELESS,Useless Coin,0.189929,190017065,20647795.0,20.00538,0,86.32476919026676,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
ROSE,Oasis,0.02544953,188064817,7873684.0,8.12571,0,53.01341151422846,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
TRAC,OriginTrail,0.340149,170011131,2098244.0,10.01212,0,41.00680645827291,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
AI16Z,ai16z,0.151496,166648148,42996529.0,6.23298,0,40.24034851306264,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
NEIRO,Neiro,0.00038487,161716310,63705499.0,6.91498,0,48.151792326146506,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
ORDI,ORDI,7.63,160238636,41871929.0,6.26881,0,46.062084774881036,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
MOODENG,Moo Deng,0.155749,154263426,87749626.0,7.15239,0,50.39900809648453,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
LAUNCHCOIN,Launch Coin on Believe,0.152667,151737925,42498192.0,33.89147,0,49.916104971213194,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
IBERA,Infrared Bera,1.71,145779548,182463.0,6.16998,0,39.16223929355935,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
DRIFT,Drift Protocol,0.417665,142031372,41571818.0,7.48409,0,42.04427522636047,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
NPC,Non-Playable Coin,0.01570484,126425911,3666775.0,6.14256,0,55.06402342881063,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
COTI,COTI,0.053025,116602584,11429160.0,6.01983,0,53.713954507017576,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
GOAT,Goatseus Maximus,0.101129,101134869,15217495.0,5.0094,0,47.75260823854669,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
PROM,Prom,5.52,100688922,6050585.0,9.45569,0,55.29300683649962,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
METIS,Metis,15.21,97653308,10043610.0,5.27524,0,42.985833062964005,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
VVV,Venice Token,3.08,96964715,6808576.0,8.235,0,48.8209386779788,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
PEOPLE,ConstitutionDAO,0.0183603,93000728,29585072.0,5.9229,0,46.535833314903876,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
PEPE,Pepe,9.99e-06,4204572881,749608371.0,5.76267,0,44.475718917560236,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
ZRO,LayerZero,1.95,216371462,50144207.0,8.7121,0,50.88073601910397,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
PRIME,Echelon Prime,2.49,156408214,7007704.0,14.22453,0,52.187697084358874,50,"价格趋势上升信号, 市场走势: 强势上升",20250630_133833
