symbol,name,price,market_cap,volume_24h,price_change_24h,price_change_7d,rsi,score,reason,timestamp
VENOM,Venom,0.169694,353786525,1799696.0,7.09933,0,73.96438628899777,50,"价格趋势上升信号, 市场走势: 强势上升",20250623_070925
USELESS,Useless Coin,0.099623,97851430,30676521.0,9.56684,0,85.44529788897354,50,"价格趋势上升信号, 市场走势: 强势上升",20250623_070925
GAL,GAL (migrated to Gravity - G),0.759572,97026493,12312.28,11.4857,0,43.82510180315466,50,"价格趋势上升信号, 市场走势: 强势上升",20250623_070925
FUN,FUNToken,0.00812998,86155020,94425654.0,15.31899,0,90.7729362107321,50,"价格趋势上升信号, 市场走势: 强势上升",20250623_070925
BANANAS31,Banana For Scale,0.00777788,77840007,79696186.0,22.41379,0,73.8797966166733,50,"价格趋势上升信号, 市场走势: 强势上升",20250623_070925
T,Threshold Network,0.01740621,174409392,85936610.0,9.00989,0,62.62623984621481,50,"价格趋势上升信号, 市场走势: 强势上升",20250623_070925
KAIA,Kaia,0.185336,1093649159,114097304.0,-0.10845,0,74.3568385290701,45,"价格趋势上升信号, 市场走势: 强势上升",20250623_070925
LAYER,Solayer,0.721319,150918245,331866396.0,4.9258,0,40.130849129385595,45,"价格趋势上升信号, 市场走势: 强势上升",20250623_070925
AUSD,AUSD,0.998991,130533978,263798875.0,-0.0509,0,42.2961209034293,45,"价格趋势上升信号, 价格低于价格区间底部, 市场走势: 可能回升",20250623_070925
SEI,Sei,0.202082,1129392309,230741587.0,-4.44653,0,55.430806919831475,45,"价格趋势上升信号, 市场走势: 强势上升",20250623_070925
XMR,Monero,297.64,5487933941,65906377.0,-3.90487,0,29.057774782080273,45,"新鲜度指标低估, 价格趋势上升信号, 价格低于价格区间底部",20250623_070925
BDCA,BitDCA,1.011,134525839,241282.0,5.99868,0,61.80926408796979,40,"价格趋势上升信号, 市场走势: 上升趋势",20250623_070925
DAI,Polygon PoS Bridged DAI (Polygon POS),0.999623,309142170,7957796.0,-0.01405,0,54.594482035536934,35,"价格趋势上升信号, 价格低于价格区间底部",20250623_070925
TRIP,Trip,9.62,283695438,12305.41,2.89029,0,86.87326471124935,35,"价格趋势上升信号, 市场走势: 上升趋势",20250623_070925
NKYC,NKYC Token,22.08,88320120,239877.0,-4.09287,0,30.65732613982138,35,"价格趋势上升信号, 价格低于价格区间底部",20250623_070925
SIGN,Sign,0.066834,80218549,68915207.0,3.81025,0,33.54527512003351,35,"价格趋势上升信号, 市场走势: 上升趋势",20250623_070925
USDF,Falcon USD,0.999713,530352738,928560.0,-0.00762,0,46.843112107318724,30,"价格趋势上升信号, 市场走势: 可能回升",20250623_070925
HNT,Helium,2.17,399617690,5719280.0,-2.64219,0,20.498745962711027,30,"新鲜度指标低估, 价格趋势上升信号",20250623_070925
SBUSDT,Sui Bridged USDT (Sui),0.99952,129200565,27265996.0,-0.02509,0,13.350199471712344,30,"新鲜度指标低估, 价格趋势上升信号",20250623_070925
LQTY,Liquity,1.077,105085806,34527321.0,-1.01748,0,52.93390638563366,30,"价格趋势上升信号, 市场走势: 可能回升",20250623_070925
SLVLUSD,Staked Level USD,1.076,84843191,154843.0,-0.15829,0,61.11452092002434,30,"价格趋势上升信号, 市场走势: 可能回升",20250623_070925
