symbol,name,price,market_cap,volume_24h,price_change_24h,price_change_7d,rsi,score,reason,timestamp
DOGE,Dogecoin,0.165587,24798988407,1181904469.0,1.30417,0,26.677215913624067,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
ETHW,EthereumPoW,1.34,144246031,5849369.0,0.44808,0,29.065713680618373,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
BIO,Bio Protocol,0.050735,91014395,21275602.0,-1.5562,0,29.33880261927034,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
PEOPLE,ConstitutionDAO,0.01794002,90913985,29914194.0,0.11897,0,28.640690600847464,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
XVG,Verge,0.00507106,83465070,5034533.0,1.79003,0,29.042747716964612,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
PHA,PHALA,0.099687,79946408,10324969.0,1.774,0,26.278273525973148,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
RED,RedStone,0.274236,76755745,14059944.0,-1.52639,0,27.485772823446183,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
PTGC,The Grays Currency,0.00025963,75922503,73839.0,2.55078,0,26.265870999155595,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
ACX,Across Protocol,0.153244,67649771,17091209.0,-1.75243,0,27.42172906239044,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
SAGA,Saga,0.22453,57914008,17771734.0,-0.74317,0,24.423329669942603,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
MOVR,Moonriver,5.49,53535219,4698298.0,0.03145,0,25.16709700734168,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
FWOG,Fwog,0.0427525,41650656,5516935.0,-1.49282,0,27.991160787190807,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
ACT,Act I The AI Prophecy,0.04263935,40451703,24369038.0,-1.10407,0,29.214438017848394,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
BB,BounceBit,0.084778,34705992,5373432.0,-1.13657,0,19.9884866991122,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
SEND,Suilend,0.43734,30873001,1112089.0,-0.47172,0,27.29403673899776,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
SYS,Syscoin,0.03405076,27989524,1550806.0,-0.088,0,23.95872326353785,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
TIA,Celestia,1.66,1134556544,106334130.0,4.19646,0,28.596048077323417,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
BOME,BOOK OF MEME,0.0015097,104080155,31403643.0,0.85385,0,27.979246824532453,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
OSAK,Osaka Protocol,7.302e-08,55550703,60111.0,4.14996,0,26.991359523727425,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
ORDI,ORDI,7.42,156025242,44155287.0,0.56011,0,26.560552179285523,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
DOGE,Binance-Peg Dogecoin,0.165136,423956209,2261134.0,1.09824,0,27.309608708598958,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
CKB,Nervos Network,0.00344415,161006801,16455138.0,0.58771,0,26.579308746752858,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
OP,Optimism,0.554199,970193548,172509807.0,1.21249,0,27.652918490711258,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
A,Vaulta,0.510362,803122892,51440467.0,-1.37982,0,23.493838909897505,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
IMX,Immutable,0.421297,786762094,36463067.0,0.64503,0,27.72108450716233,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
GALA,GALA,0.01416114,635961451,84711342.0,1.30982,0,28.05489265511703,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
IOTA,IOTA,0.162697,627415965,17887118.0,-0.1016,0,28.905326202952608,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
ZEC,Zcash,42.39,683211713,22778431.0,1.81866,0,29.44846388149493,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
EOS,EOS,0.508476,363090078,643784.0,-1.78603,0,25.643503725295545,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
RON,Ronin,0.448702,293479667,5881504.0,0.65919,0,24.52845875769208,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
BEAM,Beam,0.00527683,276517182,23497085.0,2.71352,0,28.119381703978874,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
SAFE,Safe,0.403847,239496092,9334302.0,-0.13352,0,28.494466269160057,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
BLUR,Blur,0.074207,177638504,17512924.0,0.85117,0,28.645923212474287,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
KET,Ket,0.414579,413817935,10746668.0,-1.92041,0,25.636424402439744,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
ROSE,Oasis,0.02393099,176777954,8249699.0,-1.43708,0,29.70003422215386,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250625_093822
ORAI,Oraichain,2.63,49760029,682471.0,5.21799,0,36.76179804073584,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
SOON,SOON,0.25263,47195821,27961742.0,23.75833,0,55.5824961667965,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
CLANKER,tokenbot,41.65,41733981,11454763.0,32.21119,0,68.04500775165538,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
GRIFFAIN,GRIFFAIN,0.0459293,45865885,13262966.0,8.3691,0,39.895095037546405,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
TUT,Tutorial,0.055374,46336280,43605877.0,10.74019,0,90.10384740629652,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
TRUAPT,TruFin Staked APT,4.93,48801972,8082.39,11.97468,0,46.60839910767139,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
MMX,MMX,0.292282,47266794,47067.0,21.2527,0,46.58930697422998,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
HP,Hippo Protocol,0.04464916,48008360,63892282.0,12.53272,0,42.07193230107309,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
THAPT,Thala APT,4.83,34170933,31112.0,11.91962,0,46.04428446494387,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
ANYONE,ANyONe Protocol,0.42943,34327672,424939.0,9.02802,0,50.667917309575714,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
LMWR,LimeWire,0.074113,25609290,3205327.0,5.99836,0,40.89109288921009,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
TIGERSHARK,Tiger Shark,0.03094847,30948458,266996.0,17.93497,0,42.20778571302433,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
GPU,NodeAI,0.308847,30001766,5233483.0,5.43386,0,39.21977252704519,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
SERV,OpenServ,0.04292988,29337689,445919.0,18.21496,0,49.205061117123044,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
WOJAK,Wojak,0.00039825,27646536,1621069.0,9.25725,0,35.11309109480413,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
OGY,ORIGYN,0.00289471,25893187,405911.0,16.46049,0,49.19051340484299,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
A47,AGENDA 47,0.0258876,25882746,2489608.0,23.26149,0,60.28109320031071,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
AQT,Alpha Quark,0.962161,25849324,22131849.0,8.62706,0,41.75936415283647,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
NEURAL,NEURALAI,2.56,25563579,109847.0,6.10044,0,38.18633601995439,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
WCFG,Wrapped Centrifuge,0.192342,56844772,831298.0,16.01593,0,49.479045428925254,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
ISLM,Islamic Coin,0.0286781,54665773,741439.0,10.79037,0,46.71937465357657,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
HASHAI,HashAI,0.00045414,40645339,670347.0,14.28111,0,48.08594079953457,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
APU,Apu Apustaja,0.00018276,61751135,1834573.0,8.01988,0,43.44879200576576,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
CSPR,Casper Network,0.01228751,161981534,11970136.0,7.2419,0,40.94673507679506,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
PUNDIAI,Pundi AI,7.64,64294889,26918767.0,8.12162,0,45.603703946808444,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
APT,Aptos,4.86,3128673638,553386788.0,11.84471,0,47.0091094258387,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
SEI,Sei,0.31522,1750083043,1000151876.0,21.30707,0,80.33564548292864,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
S,Sonic,0.345921,1097557043,211740361.0,7.94522,0,44.25189082466652,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
STX,Stacks,0.681845,1043686782,62933798.0,6.34575,0,50.6063369145132,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
JASMY,JasmyCoin,0.01370472,662608299,95923803.0,6.52807,0,45.136048320806545,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
DEXE,DeXe,8.67,496326926,82086021.0,10.31544,0,39.688508225092846,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
DOG,Dog (Bitcoin),0.00380312,379520140,28472210.0,15.86966,0,41.88447877428442,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
SNX,Synthetix Network,0.592144,203410661,31141301.0,5.22988,0,35.49749947513675,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
NEIRO,Neiro,0.00040329,169489192,98301141.0,6.08357,0,36.95975135422248,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
SYRUP,Maple Finance,0.571942,613467569,127693026.0,17.19417,0,62.44854911762235,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
EUL,Euler,7.93,148114869,2336276.0,5.33489,0,48.14306750788473,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
BANANAS31,Banana For Scale,0.01357233,135500032,208124742.0,12.614,0,92.45486406884193,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
NPC,Non-Playable Coin,0.01642086,132172344,6163868.0,19.21727,0,53.22210540131849,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
AMAPT,Amnis Aptos,4.83,121801607,730706.0,11.9531,0,49.29419815692296,50,"价格趋势上升信号, 市场走势: 强势上升",20250625_093822
