symbol,name,price,market_cap,volume_24h,price_change_24h,price_change_7d,rsi,score,reason,timestamp
RENDER,Render,3.28,1699549468,186882955.0,13.21083,0,27.875286546797597,60,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250624_232040
BRETT,Brett,0.04275387,425281999,53338169.0,15.00462,0,28.395941672253883,60,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250624_232040
STRK,Starknet,0.114611,384939021,111895299.0,7.76419,0,26.225592711491586,60,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250624_232040
POPCAT,Popcat,0.296841,292474700,81236206.0,12.93784,0,26.848043559470028,60,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250624_232040
PLUME,Plume,0.089361,226965082,34440351.0,7.30941,0,25.927910293661455,60,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250624_232040
MOODENG,Moo Deng,0.149542,148455467,109086738.0,12.25752,0,25.715921499738826,60,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250624_232040
MANA,Decentraland,0.259457,498342948,46504233.0,5.32568,0,29.619058820429416,60,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250624_232040
ARKM,Arkham,0.45169,199656698,63020725.0,11.2772,0,28.659009131932066,50,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 上升趋势",20250624_232040
NEIRO,Neiro,0.00039919,168161977,136534922.0,16.03084,0,32.043657206263646,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
AI16Z,ai16z,0.159713,175988230,73616805.0,12.80395,0,26.722065731086545,50,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 上升趋势",20250624_232040
BORG,SwissBorg,0.197006,193563675,551880.0,11.00304,0,39.13904116130601,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
PUMPBTC,pumpBTC,103095.0,267737474,587.3,6.27136,0,44.94351717316708,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
CVX,Convex Finance,2.64,216523318,17701394.0,9.67925,0,33.68297360664505,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
TURBO,Turbo,0.00368885,255315315,69501671.0,12.30112,0,32.789166751353974,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
USELESS,Useless Coin,0.139056,139046375,38895564.0,40.20298,0,88.50538253517809,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
SUPER,SuperVerse,0.622161,281177870,23777782.0,17.07419,0,36.5875969249086,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
LQTY,Liquity,1.43,139662148,111758004.0,24.84113,0,66.10500884221065,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
AMAPT,Amnis Aptos,4.68,118292103,605670.0,16.70737,0,45.843118986016435,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
BANANAS31,Banana For Scale,0.01191255,118862830,194570969.0,37.71538,0,89.63034829086521,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
NPC,Non-Playable Coin,0.01475004,118761602,9930431.0,31.33322,0,48.99700174589189,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
KAITO,KAITO,1.43,345414101,66100171.0,9.44038,0,30.507153808132728,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
LCX,LCX,0.124565,117344453,4609560.0,9.79748,0,48.72316544411093,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
MPLX,Metaplex,0.12769,105679004,7608547.0,5.90075,0,41.739286131424144,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
VRA,Verasity,0.00126094,104072647,7249721.0,13.36789,0,30.320224531285973,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
VELO,Velo,0.01292452,95552965,151410537.0,10.57734,0,46.68735356350035,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
STS,Beets Staked Sonic,0.345293,95466919,14322670.0,17.45381,0,36.20494669738169,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
BIO,Bio Protocol,0.0516,92680526,26325391.0,8.83768,0,23.343202726420216,50,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 上升趋势",20250624_232040
REI,Rei,0.091615,91585023,1616781.0,14.80038,0,50.64734805762812,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
W,Wormhole,0.062066,288819620,41983125.0,9.75416,0,28.314402201473783,50,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 上升趋势",20250624_232040
CSPR,Casper Network,0.01145511,151200482,6431894.0,5.0212,0,33.02432480460682,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
B,BUILDon,0.371627,358806822,61106935.0,14.67281,0,48.77184238765024,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
WIF,dogwifhat,0.866042,868849690,712304666.0,22.01998,0,36.29980687058494,50,"价格趋势上升信号, 市场走势: 强势上升",20250624_232040
