symbol,name,price,market_cap,volume_24h,price_change_24h,price_change_7d,rsi,score,reason,timestamp
EOS,EOS,0.608277,443348845,3350152.0,-13.28601,0,28.92221216946561,55,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 强势上升",20250612_134226
SPX,SPX6900,1.66,1543756800,103056588.0,6.80158,0,78.91381338538798,50,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
RVN,Ravencoin,0.02147657,326350216,369637766.0,10.28467,0,81.83277882901072,50,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
FAI,Freysa AI,0.02275588,186310686,5826915.0,14.48926,0,58.28288051831863,50,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
SIREN,Siren,0.151554,110270439,14445150.0,7.05153,0,47.7320117321693,50,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
TIBBIR,Ribbita by Virtuals,0.108198,108501756,2387249.0,12.47482,0,62.80982729196072,50,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
AITECH,Solidus Ai Tech,0.066813,103565063,37968178.0,8.80474,0,69.16005732119837,50,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
ARDR,Ardor,0.098538,97648475,44433090.0,15.50397,0,50.15957715523593,50,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
0X0,0x0.ai: AI Smart Contract,0.107061,95850216,1649628.0,25.2312,0,65.12710907029869,50,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
SOS,Solana Swap,0.220817,220779664,3278086.0,-3.01678,0,69.2519204371626,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
WBETH,Wrapped Beacon ETH,2958.14,209725424,8497289.0,-1.24076,0,58.73477126609884,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
WETH,Wrapped Ether (Mantle Bridge),2759.89,208735444,4320788.0,-1.35385,0,58.31825081373128,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
NEIRO,Neiro,0.00048114,202474788,139677960.0,-5.01842,0,45.9236052371735,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
BORG,SwissBorg,0.204414,200404324,429729.0,-2.9485,0,27.123064287314307,45,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 上升趋势",20250612_134226
TRIBE,Tribe,0.426832,194175582,168429.0,-0.27875,0,66.0256718128515,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
QUBIC,Qubic,1.53e-06,183664223,3327168.0,-6.44944,0,57.16175865364804,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
SNEK,Snek,0.00258645,192316354,1389336.0,-3.88769,0,40.96987364057509,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
LAUNCHCOIN,Launch Coin on Believe,0.191337,191026065,60234178.0,-16.05254,0,60.7746347848229,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
ORDI,ORDI,8.85,186146739,63715166.0,-6.33786,0,37.61089984132492,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
TOSHI,Toshi,0.00055338,232700511,19393456.0,-9.314,0,39.670112356943804,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
PRIME,Echelon Prime,2.92,178802477,3940658.0,-7.21759,0,45.047854120197414,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
SQD,SQD,0.252088,177285583,102355074.0,0.35955,0,56.48338640092137,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
TETH,Treehouse ETH,3327.76,229666440,944395.0,-1.30244,0,57.83101256367467,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
ETH+,ETHPlus,2891.43,245708903,285583.0,-1.25922,0,57.45687983613002,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
CHEX,CHEX Token,0.235571,235313277,2035435.0,0.41042,0,53.81473048988869,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
SNX,Synthetix Network,0.692179,237797738,21095892.0,-5.70434,0,43.36955417010755,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
GIGA,Gigachad,0.02542234,244162179,27843183.0,-2.70494,0,44.71909433328427,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
ETH,Bridged Ether (StarkGate),2757.14,163857621,1538037.0,-1.44807,0,57.651711100774044,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
SFRXETH,Staked Frax Ether,3100.57,255666409,248420.0,-1.37948,0,57.335007222909766,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
VENOM,Venom,0.130511,271810918,3345341.0,-0.95916,0,75.08998217409682,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
1INCH,1inch,0.215725,299739015,21965232.0,-4.42597,0,41.81866037312116,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
SUPER,SuperVerse,0.682319,308199957,17007944.0,-7.20074,0,42.651862570777034,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
FRXETH,Frax Ether,2756.46,331005853,961565.0,-1.31779,0,57.414990789068725,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
MATIC,Polygon,0.224117,336123565,2824158.0,-0.2955,0,47.867841110431996,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
WETH,Polygon PoS Bridged WETH (Polygon POS),2758.04,358389864,22338893.0,-1.47325,0,57.63059320987794,45,"价格趋势上升信号, 市场走势: 强势上升",20250612_134226
RON,Ronin,0.557813,364855200,10782084.0,-4.23897,0,27.938444152272837,45,"新鲜度指标低估, 价格趋势上升信号, 市场走势: 上升趋势",20250612_134226
